number,state,rmse,ores,osat,alfa,npar,ksatfit,lexp,ksatexm,bdens,best_so_far_rmse,previous_best_rmse,improvement,relative_improvement_percent
77,COMPLETE,0.031667333326315945,0.06478274951203225,0.4203656438748664,0.006787907996323992,1.119789676477582,19.707262128576723,1.686331627367678,29.60648973459664,1408.1725540773452,0.026748682210531432,0.026748682210531432,0.0,0.0
78,COMPLETE,0.037932255403548054,0.071149649021779,0.40092536544993934,0.006694019631480621,1.1493818599823789,18.106367869702716,1.5812304358268583,32.767781183469154,1400.2143755923657,0.026748682210531432,0.026748682210531432,0.0,0.0
79,COMPLETE,0.0462562428219154,0.0890361864100431,0.334272141023078,0.007657803799510221,1.10926488967986,13.999629997769386,1.487439884742731,33.51113631275509,1418.082305189704,0.026748682210531432,0.026748682210531432,0.0,0.0
80,COMPLETE,0.04103559430543197,0.08688816030686548,0.36962412150002566,0.007943094472524465,1.1320049181700034,17.18172369665849,1.161197988599528,30.62280330271722,1350.0221161358634,0.026748682210531432,0.026748682210531432,0.0,0.0
81,COMPLETE,0.028916638808824262,0.08724979820138805,0.4085969389388206,0.006519153442539617,1.1348816928621621,18.896238891511636,1.0756877974411372,35.28858269899016,1429.0774439772147,0.026748682210531432,0.026748682210531432,0.0,0.0
82,COMPLETE,0.0322538059769696,0.08719315228840209,0.41335630549189545,0.006488185847027924,1.1126785484456456,18.761426891733986,1.0615348801695583,35.27946636353113,1441.0832323003974,0.026748682210531432,0.026748682210531432,0.0,0.0
83,COMPLETE,0.04075865552247768,0.06745565783382043,0.3851710523919994,0.006637720266336587,1.1416158704980792,17.949856814597226,0.9839070238336943,36.477650540975745,1459.8856590158807,0.026748682210531432,0.026748682210531432,0.0,0.0
84,COMPLETE,0.028337748675574058,0.0829909707096105,0.3979053099907019,0.0063397817259373285,1.1255824050265526,18.92945415700308,1.1738034885268522,34.43488299185009,1422.975136879701,0.026748682210531432,0.026748682210531432,0.0,0.0
85,COMPLETE,0.03446093440404656,0.0831902282221719,0.40815407577250484,0.0063298450416690915,1.1593201159830433,19.009914557558464,1.1564267179182675,34.733732610233595,1424.9577242733699,0.026748682210531432,0.026748682210531432,0.0,0.0
86,COMPLETE,0.032133658366267595,0.08606998978721953,0.42396902420354415,0.006056170921389571,1.126437378026201,19.656965969992306,1.0911917683087355,33.44955722778811,1446.9679263904088,0.026748682210531432,0.026748682210531432,0.0,0.0
87,COMPLETE,0.02744376067524275,0.08921843277050982,0.3990840362908578,0.0061578020091342485,1.1133982719595537,18.384072855216964,1.2561997819676667,34.54034294035505,1434.4455731896762,0.026748682210531432,0.026748682210531432,0.0,0.0
88,COMPLETE,0.04585075789995189,0.08121568098920007,0.39900101196707416,0.006226243512589013,1.1814539334001128,18.389688671115216,1.2576628300293329,34.37693266974708,1435.0752485888645,0.026748682210531432,0.026748682210531432,0.0,0.0
89,COMPLETE,0.026869834387282708,0.0797024527781069,0.3955594795097644,0.006297114862683473,1.1126896981325871,19.327935609150682,1.3572935734082394,38.43752069026631,1412.7145900645519,0.026748682210531432,0.026748682210531432,0.0,0.0
90,COMPLETE,0.026146051327112476,0.08918095268028808,0.38857841003715876,0.006179735698016638,1.1158676185892011,19.32504800438276,1.347130939334099,38.43878215623959,1417.3545505014497,0.026146051327112476,0.026748682210531432,0.0006026308834189559,2.2529367191842047
91,COMPLETE,0.02568439214776165,0.08909796711009894,0.38684343027742535,0.0061380192183817,1.1130695380444,19.368781501225687,1.3594633016955142,38.73045655623389,1413.112704391652,0.02568439214776165,0.026146051327112476,0.00046165917935082554,1.765693693380393
92,COMPLETE,0.07273200120992135,0.07977010842522839,0.49475001132408947,0.0061585457777868615,1.1229997719945868,19.362389272956907,1.398861025977201,38.92927374854949,1415.9376153780304,0.02568439214776165,0.02568439214776165,0.0,0.0
93,COMPLETE,0.025820147172314886,0.08926064421670456,0.39147849179091126,0.00601249331503491,1.1142753010092625,19.71399868165401,1.3301421648924756,38.55197151215141,1409.6065547975147,0.02568439214776165,0.02568439214776165,0.0,0.0
94,COMPLETE,0.0257510388139974,0.08909070705700387,0.38431067001012215,0.006122930394005248,1.113851564595113,19.638540636181176,1.3343336576539526,39.81461544254447,1408.7740791851063,0.02568439214776165,0.02568439214776165,0.0,0.0
95,COMPLETE,0.032048525707121064,0.08921467154971623,0.3910055612625882,0.006018560128936187,1.1436623395459178,19.77331157138815,1.3323916627019994,38.93298165094938,1390.9316956717412,0.02568439214776165,0.02568439214776165,0.0,0.0
96,COMPLETE,0.02551462325804559,0.08988919733857859,0.3841353806687374,0.006118850156912442,1.1129521559660494,19.362927755118918,1.3595408787876329,38.170198360406374,1410.29333082272,0.02551462325804559,0.02568439214776165,0.00016976888971606194,0.660980757260619
97,COMPLETE,0.03931310214165248,0.08845571180805809,0.3868955265663711,0.006079968810004793,1.1588524209071343,19.50929505722637,1.4490431347159318,39.93173961190084,1407.5568220907157,0.02551462325804559,0.02551462325804559,0.0,0.0
98,COMPLETE,0.026302471366774625,0.08920064443419641,0.3733631567889771,0.00613723194821158,1.1114942612800904,19.994762899833823,1.2915975188326765,38.37739480152181,1412.7505352482772,0.02551462325804559,0.02551462325804559,0.0,0.0
99,COMPLETE,0.02744827863455193,0.0899019894740708,0.37154385404954515,0.00612378542469128,1.1139277872606625,19.993060883712456,1.356833306655341,38.24155957028612,1400.8380459236323,0.02551462325804559,0.02551462325804559,0.0,0.0
100,COMPLETE,0.10939232148555948,0.08912267153044025,0.26178699767946234,0.006181984608809095,1.173859538088156,19.250316968187292,1.2849014157975553,39.49449665380704,1413.5466437429855,0.02551462325804559,0.02551462325804559,0.0,0.0
101,COMPLETE,0.02793542553819432,0.08942459378538282,0.3690660948589164,0.006124391046098873,1.1133845242688223,19.974062710061144,1.3492117029133088,37.86548960480933,1401.1745406136145,0.02551462325804559,0.02551462325804559,0.0,0.0
102,COMPLETE,0.025790153159684807,0.08988397250106678,0.38425059870598205,0.006268052477168447,1.112753988072866,19.78706383960776,1.4115116417654532,38.39332852222785,1411.7441651658175,0.02551462325804559,0.02551462325804559,0.0,0.0
103,COMPLETE,0.03386272286748365,0.0878260251647685,0.3870227790535388,0.00625532533836507,1.1422958334693565,19.72217762357031,1.4155156946702923,38.293419120085325,1409.6487526625901,0.02551462325804559,0.02551462325804559,0.0,0.0
104,COMPLETE,0.02826906436371745,0.08997324747248404,0.38329921119890425,0.006015608197184342,1.126062736001865,19.36142612577205,1.2988369345369044,37.17123455846383,1395.0723783758215,0.02551462325804559,0.02551462325804559,0.0,0.0
105,COMPLETE,0.032051770621917275,0.0885893898392026,0.3579681114607374,0.006291345825521633,1.1122776867577238,19.54136788968438,1.4779680864064135,38.70486576466694,1421.3860894418624,0.02551462325804559,0.02551462325804559,0.0,0.0
